Africa,Middle Africa,Gabon,WPB-ICPR,,,,,,,,,,,,,3373,,,,,,,,,,,,,,,174.8,
Africa,Western Africa,Gambia,WPB-ICPR,,,,,,,780,,1000,,1000,1121,,,,,,,,,,47.6,,57.3,,53.8,58.5,,
Asia,Western Asia,Georgia,UN-CTS,6119,7867,9144,15464,18309,18659,21239,23684,24114,19349,9093,10372,9716,9334,,133.6,173.5,203.8,348.4,417.0,429.9,495.3,559.7,578.1,471.0,224.7,259.8,245.9,236.8
Europe,Western Europe,Germany,UN-CTS,80829,80933,80201,78063,75153,73793,72295,70827,69543,68533,66221,63228,63020,64291,,99.0,99.0,98.2,95.7,92.4,91.0,89.3,87.6,85.9,84.5,81.5,77.6,77.1,78.5
Africa,Western Africa,Ghana,WPB-ICPR,11397,11581,12371,12847,,14128,,13507,,13487,14021,14599,,14368,,55.7,55.2,57.4,58.1,,60.6,,55.1,,52.4,53.2,54.1,,50.9
Europe,Southern Europe,Gibraltar,WPB-ICPR,,19,,30,,37,,53,,63,,,,56,,,59.6,,92.9,,113.0,,159.7,,187.4,,,,162.9
Europe,Southern Europe,Greece,UN-CTS,8726,8722,9964,10370,11645,11736,11364,12349,12479,12475,12693,11798,9716,9560,,77.6,77.4,88.2,91.5,102.3,102.8,99.3,107.9,109.2,109.6,112.1,104.7,86.6,85.4
Americas,Northern America,Greenland,WPB-ICPR,,111,,115,,132,,171,,170,,131,126,,,,195.2,,201.9,,232.2,,301.9,,301.0,,232.3,223.5,
Americas,Caribbean,Grenada,UN-CTS/WPB-ICPR,,182,237,334,367,386,409,438,457,489,480,513,502,457,,,177.3,230.2,323.5,354.3,371.4,392.2,418.4,434.9,463.6,453.2,482.3,469.9,425.8
Americas,Caribbean,Guadeloupe,WPB-ICPR,695,,743,,790,,,,784,,871,,907,,,160.1,,169.0,,177.6,,,,173.7,,193.0,,201.4,
Oceania,Micronesia,Guam,WPB-ICPR,,393,,495,,559,,559,,585,,754,756,,,,248.6,,312.0,,351.5,,350.6,,365.7,,468.4,467.3,
Americas,Central America,Guatemala,UN-CTS/WPB-ICPR,8307,8698,8247,7477,,8158,,11148,,15013,16336,18425,,,,66.5,68.0,63.0,55.8,,58.2,,76.2,,98.3,104.7,115.7,,
Europe,Northern Europe,Guernsey,WPB-ICPR,,93,,117,,87,,75,,117,,,,91,,,,,,,,,,,,,,,
Africa,Western Africa,Guinea,UN-CTS/WPB-ICPR,,,,,2539,2780,,3800,,2600,,3110,,2900,,,,,,25.1,26.9,,35.2,,23.0,,26.3,,23.3
Africa,Western Africa,Guinea-Bissau,WPB-ICPR,,,,,,,,,,,92,,,196,,,,,,,,,,,,5.5,,,10.8
Americas,South America,Guyana,UN-CTS,,1280,1461,1861,2171,2117,2179,2160,2035,2032,1998,,1998,,,,170.3,194.6,248.3,290.3,283.7,292.2,289.3,271.7,269.8,263.6,,260.0,
Americas,Caribbean,Haiti,WPB-ICPR,3519,1941,3670,4663,6370,8204,,5331,,8722,9936,10461,11046,,,39.2,21.3,39.6,49.6,66.7,84.5,,53.3,,84.8,95.2,98.9,103.1,
Europe,Southern Europe,Holy See,UN-CTS,,,,,,,0,0,0,1,0,0,1,,,,,,,,,0.0,0.0,0.0,124.4,0.0,0.0,124.5,
Americas,Central America,Honduras,UN-CTS/WPB-ICPR,,10931,11589,11178,,11390,,11770,12006,12095,13184,14882,16158,17494,,,151.7,157.2,148.2,,144.7,,143.6,143.8,142.2,152.3,168.9,180.3,192.0
Europe,Eastern Europe,Hungary,UN-CTS,16860,16546,15755,14822,14353,14743,15432,16328,17210,17179,17841,17890,17449,17658,,166.2,163.6,156.2,147.4,143.2,147.6,155.0,164.5,173.9,174.1,181.3,182.3,178.3,181.1
