,Compound,Date,Negative,Network,Neutral,Positive,Text,Tweets Ago
55,0.0,Wed Sep 26 02:13:51 +0000 2018,1.0,@peter_pan_daz,0.0,0.0,Hey! This is tweet #3.2,16
56,0.0,Wed Sep 26 02:13:51 +0000 2018,1.0,@peter_pan_daz,0.0,0.0,Hey! This is tweet #2.2,17
57,0.0,Wed Sep 26 02:13:51 +0000 2018,1.0,@peter_pan_daz,0.0,0.0,Hey! This is tweet #1.2,18
58,0.0,Sat Sep 22 20:50:51 +0000 2018,1.0,@peter_pan_daz,0.0,0.0,Added an image https://t.co/g8ntRAiqed,19
59,0.0,Sat Sep 22 20:49:39 +0000 2018,1.0,@peter_pan_daz,0.0,0.0,Hey Programming on Bryan's Birthday,20
60,0.0,Tue Oct 02 18:54:53 +0000 2018,1.0,@peter_pan_daz,0.0,0.0,"@NB_ED4ever, see your results! https://t.co/jYSchd5RxE",21
61,0.0,Tue Oct 02 18:54:52 +0000 2018,1.0,@peter_pan_daz,0.0,0.0,"@NB_ED4ever, see your results! https://t.co/9e1NFwu2IY",22
62,0.0,Tue Oct 02 18:54:50 +0000 2018,1.0,@peter_pan_daz,0.0,0.0,"@CO2_Dispenser, see your results! https://t.co/GyWgcDRGAr",23
63,0.0,Tue Oct 02 18:54:49 +0000 2018,1.0,@peter_pan_daz,0.0,0.0,"@NB_ED4ever, see your results! https://t.co/sPIK7cZO8u",24
64,0.0,Tue Oct 02 18:54:48 +0000 2018,1.0,@peter_pan_daz,0.0,0.0,"@NB_ED4ever, see your results! https://t.co/EJFHXuoDmO",25
65,0.0,Tue Oct 02 03:34:55 +0000 2018,1.0,@peter_pan_daz,0.0,0.0,@NB_ED4ever perform voodoo on @CNN,26
66,0.0,Wed Sep 26 04:17:18 +0000 2018,1.0,@peter_pan_daz,0.0,0.0,Break down of tweet labels for CNN https://t.co/S9VcydiOky,27
67,0.0,Wed Sep 26 02:47:54 +0000 2018,1.0,@peter_pan_daz,0.0,0.0,Hey! The current weather condition at London is #scattered clouds,28
68,0.0,Wed Sep 26 02:44:29 +0000 2018,1.0,@peter_pan_daz,0.0,0.0,Hey! The current weather condition at London is #clear sky,29
69,0.0,Wed Sep 26 02:20:54 +0000 2018,1.0,@peter_pan_daz,0.0,0.0,"Hey! This is tweet #3, but with a timer",30
70,0.0,Wed Sep 26 02:19:54 +0000 2018,1.0,@peter_pan_daz,0.0,0.0,"Hey! This is tweet #2, but with a timer",31
71,0.0,Wed Sep 26 02:18:54 +0000 2018,1.0,@peter_pan_daz,0.0,0.0,"Hey! This is tweet #1, but with a timer",32
72,0.0,Wed Sep 26 02:17:32 +0000 2018,1.0,@peter_pan_daz,0.0,0.0,"Hey! This is tweet #5, but with a timer",33
73,0.0,Wed Sep 26 02:13:52 +0000 2018,1.0,@peter_pan_daz,0.0,0.0,Hey! This is tweet #5.2,34
74,0.0,Wed Sep 26 02:13:52 +0000 2018,1.0,@peter_pan_daz,0.0,0.0,Hey! This is tweet #4.2,35
75,0.0,Wed Sep 26 02:13:51 +0000 2018,1.0,@peter_pan_daz,0.0,0.0,Hey! This is tweet #3.2,36
76,0.0,Wed Sep 26 02:13:51 +0000 2018,1.0,@peter_pan_daz,0.0,0.0,Hey! This is tweet #2.2,37
77,0.0,Wed Sep 26 02:13:51 +0000 2018,1.0,@peter_pan_daz,0.0,0.0,Hey! This is tweet #1.2,38
78,0.0,Sat Sep 22 20:50:51 +0000 2018,1.0,@peter_pan_daz,0.0,0.0,Added an image https://t.co/g8ntRAiqed,39
79,0.0,Sat Sep 22 20:49:39 +0000 2018,1.0,@peter_pan_daz,0.0,0.0,Hey Programming on Bryan's Birthday,40
80,0.5106,Tue Oct 02 18:17:32 +0000 2018,0.68,@CO2_Dispenser,0.0,0.32,@peter_pan_daz @NB_ED4ever Is this the stairway to heaven?,1
81,0.0,Tue Oct 02 03:25:03 +0000 2018,1.0,@CO2_Dispenser,0.0,0.0,@NB_ED4ever perform voodoo on @WSJTech,2
82,0.3182,Tue Oct 02 03:16:52 +0000 2018,0.685,@CO2_Dispenser,0.0,0.315,@NB_ED4ever Please seek payment from @sherryjystad5,3
83,0.0,Tue Oct 02 03:07:13 +0000 2018,1.0,@CO2_Dispenser,0.0,0.0,@pan_bot Analyze:@WSJ,4
84,0.0,Tue Oct 02 02:52:38 +0000 2018,1.0,@CO2_Dispenser,0.0,0.0,@NB_ED4ever perform voodoo on @BBC,5
85,0.0,Mon Oct 01 22:01:15 +0000 2018,1.0,@CO2_Dispenser,0.0,0.0,@peter_pan_daz Analyze:@BBC,6
86,0.0,Mon Oct 01 22:00:38 +0000 2018,1.0,@CO2_Dispenser,0.0,0.0,@peter_pan_daz A message from your local dispenser.,7
87,0.4019,Mon Oct 01 22:00:10 +0000 2018,0.426,@CO2_Dispenser,0.0,0.574,@stefhuckdev Interesting color.,8
88,0.0,Wed Sep 26 22:27:56 +0000 2018,1.0,@CO2_Dispenser,0.0,0.0,@PlotBot5  Analyze: BBC,9
89,0.0,Wed Sep 26 22:25:59 +0000 2018,1.0,@CO2_Dispenser,0.0,0.0,@PlotBot5 Analyze: CNN,10
90,0.0,Wed Sep 26 04:15:59 +0000 2018,1.0,@CO2_Dispenser,0.0,0.0,Break down of tweet labels for CNN https://t.co/oHAZGVnqmX,11
91,0.0,Sat Sep 22 20:51:33 +0000 2018,1.0,@CO2_Dispenser,0.0,0.0,https://t.co/D5w1t53BU4,12
92,0.0,Fri Sep 21 02:01:22 +0000 2018,1.0,@CO2_Dispenser,0.0,0.0,Just setting up my Twitter. #myfirstTweet,13
93,0.5106,Tue Oct 02 18:17:32 +0000 2018,0.68,@CO2_Dispenser,0.0,0.32,@peter_pan_daz @NB_ED4ever Is this the stairway to heaven?,14
94,0.0,Tue Oct 02 03:25:03 +0000 2018,1.0,@CO2_Dispenser,0.0,0.0,@NB_ED4ever perform voodoo on @WSJTech,15
95,0.3182,Tue Oct 02 03:16:52 +0000 2018,0.685,@CO2_Dispenser,0.0,0.315,@NB_ED4ever Please seek payment from @sherryjystad5,16
